instance_key,uid,name,path,level,parent_uid
EMIS,YGJtqYk3ztn,"Acholi Parish",/KJPN4PduBWe/ToANlYyRiKb/W1JM2Qdhcv3/FzwEQSijllI/RRxA8Kk0GBU/YGJtqYk3ztn,6,RRxA8Kk0GBU
EMIS,c3Qajvg2g2a,"Achorichor Parish",/KJPN4PduBWe/uN4gXUciDZ8/a8RHFdF4DXL/GY8MHzVLI6F/AK8bwzBcjWc/c3Qajvg2g2a,6,AK8bwzBcjWc
EMIS,VsoxSVaOC52,"Achukudu Parish",/KJPN4PduBWe/uN4gXUciDZ8/EDhGji3EteB/fV3JXoeHyKw/kNpj3PHRBmx/VsoxSVaOC52,6,kNpj3PHRBmx
EMIS,l4fiJPb6PWs,"Achuna Parish",/KJPN4PduBWe/rn2uTdRyUbh/srmGjHrpVE5/c25qRvx0b0Z/cE1zC4eelwD/l4fiJPb6PWs,6,cE1zC4eelwD
EMIS,VqE2wXiswBF,"Achungi Parish",/KJPN4PduBWe/n90wmiOocDw/gCN6sU5BjlR/YQofQVGhwAl/H5aaabQNsOQ/VqE2wXiswBF,6,H5aaabQNsOQ
EMIS,DtgdCUMHUEN,"Acimi Parish",/KJPN4PduBWe/n90wmiOocDw/xpIFdCMhVHG/AvtLMZ8q4ez/Y7nPca3tf7Y/DtgdCUMHUEN,6,Y7nPca3tf7Y
EMIS,FcULmPGqqdI,"Acokara Parish",/KJPN4PduBWe/n90wmiOocDw/xpIFdCMhVHG/AvtLMZ8q4ez/hWbz7QYuaRi/FcULmPGqqdI,6,hWbz7QYuaRi
EMIS,FDQeV8bTaNr,"Acoro Parish",/KJPN4PduBWe/yXncUmqtQYF/aBrjuZk0W31/ehlCmFnbce9/KbcyV13VtRM/FDQeV8bTaNr,6,KbcyV13VtRM
EMIS,u3SBw55Y20R,"Acoto Parish",/KJPN4PduBWe/n90wmiOocDw/wMQ25dybdgH/JQS5nqalLHt/ATIUYA06Pqh/u3SBw55Y20R,6,ATIUYA06Pqh
EMIS,RKTWzyAkTWb,"Acowa Parish",/KJPN4PduBWe/rn2uTdRyUbh/mvN9LBbpf7X/xDMjY0z6k2n/t0XYuEU4iqm/RKTWzyAkTWb,6,t0XYuEU4iqm
EMIS,EYf4PJ2REwe,"Acoyo Parish",/KJPN4PduBWe/yXncUmqtQYF/Gwk4wkLz7EW/F2gyHGKOZgR/x7pZ9LvlBky/EYf4PJ2REwe,6,x7pZ9LvlBky
EMIS,UtxT5hixPsj,"Acut Parish",/KJPN4PduBWe/n90wmiOocDw/xpIFdCMhVHG/AvtLMZ8q4ez/WccRWlVxEVQ/UtxT5hixPsj,6,WccRWlVxEVQ
